"Product";"Category";"Cost_per_box";"PID"
"Milk Bars";"Bars";5.26;"P01"
"50% Dark Bites";"Bites";7.48;"P02"
"Almond Choco";"Bars";5.15;"P03"
"Raspberry Choco";"Bars";3.85;"P04"
"Mint Chip Choco";"Bars";5.72;"P05"
"Eclairs";"Bites";6.31;"P06"
"Drinking Coco";"Other";9.94;"P07"
"99% Dark & Pure";"Bars";7.73;"P08"
"Orange Choco";"Bars";3.68;"P09"
"Spicy Special Slims";"Bites";8.22;"P10"
"After Nines";"Bites";10.23;"P11"
"Fruit & Nut Bars";"Bars";4.74;"P12"
"85% Dark Bars";"Bars";10.51;"P13"
"White Choc";"Other";6.43;"P14"
"Baker's Choco Chips";"Bars";12.41;"P15"
"Organic Choco Syrup";"Other";9.57;"P16"
"Caramel Stuffed Bars";"Bars";8.43;"P17"
"Manuka Honey Choco";"Other";6.8;"P18"
"70% Dark Bites";"Bites";5.04;"P19"
"Smooth Silky Salty";"Bars";2.76;"P20"
"Choco Coated Almonds";"Bites";3.32;"P21"
"Peanut Butter Cubes";"Bites";2.65;"P22"
